word,tfidf,tf
syz_mount_image syz_mount_image,2.534018848760396,2.5773502691896257
socket socket socket,2.492261169531945,2.336030489735199
perf_event_open openat,2.422530754403937,2.581949253859411
syz_open_dev ioctl ioctl,2.405023525616908,2.252068078781032
getsockname sendmsg,2.3952360301552074,2.74783348178703
perf_event_open socket,2.357711015458951,2.547436008425695
socket socket ioctl bind,2.3221274396315503,2.2354573618010307
socket sendmsg sendmsg,2.2229538759704077,1.8097652735502892
bind sendmsg,2.1960040703637964,2.1008725825155836
bind setsockopt,2.147464179243559,2.683851015329916
setsockopt bind,2.1293786416100744,2.5400599680290896
listen socket,2.064920235442757,2.2551581322119
socket ioctl bind sendmsg,2.053115467332148,1.8305228819852208
ioctl bind sendmsg,2.053115467332148,1.8305228819852208
syz_open_dev ioctl mmap,2.0349106345463195,1.7320508075688776
ioctl syz_open_dev ioctl,2.0279240997194683,2.129012515957336
ioctl openat ioctl,2.016302027563549,1.873709235028945
openat ioctl ioctl ioctl,2.0149359324628433,1.6392289152156554
syz_init_net_socket syz_genetlink_get_family_id,2.014780661525323,2.090770275176028
seccomp seccomp,2.0,2.0
socket setsockopt setsockopt,1.9883899903344184,2.2895651368620595
connect setsockopt,1.9721412379694545,2.3572459109230954
userfaultfd ioctl,1.9564171640015482,2.2343952510754876
setsockopt sendmsg,1.921195767195502,1.9339744068480869
syz_open_dev ioctl syz_open_dev,1.908414735073699,1.834808664171709
syz_usb_control_io syz_usb_control_io,1.8952662169357715,1.861807319565799
mount syz_mount_image,1.79890404275618,1.9778981567989136
connect connect,1.7970051936125988,1.905776471405432
connect socket,1.7650731269793138,1.9768027528802026
ioctl setsockopt,1.7535446328063662,1.959017341915652
bind sendto,1.7492666300259094,1.921663033805973
socket ioctl socket,1.741236309020454,1.7434813239148488
connect listen,1.7388414388321762,1.989095156078049
syz_init_net_socket syz_genetlink_get_family_id sendmsg,1.7228216712593614,1.682521984712165
socket socket connect,1.7120731506261726,1.5910651910711768
syz_io_uring_setup syz_io_uring_submit,1.6980596408370183,1.8467533393197355
socket setsockopt sendmsg,1.6904987114524255,1.6452992722532738
sendmsg getsockname,1.6889516446460813,1.7331857649480367
socketpair setsockopt,1.6696380565666211,1.7320508075688776
openat write write,1.6225636362581122,1.6271378906775364
mmap bpf,1.597679726139075,1.5260912147333554
ioctl socket ioctl,1.5891271409302015,1.4452426701873655
socket sendmsg getsockname,1.5737777558508925,1.5903286220908939
bpf socket,1.562390327432338,1.775503662052494
socket socket setsockopt,1.5357334399718847,1.5426559401233346
sendto syz_emit_ethernet,1.506624084586248,1.4797191962518084
syz_init_net_socket connect listen,1.5001950354794527,1.5560108978460938
socket setsockopt sendto,1.4971071522833157,1.3245992322588305
userfaultfd ioctl ioctl,1.4860602151949083,1.5679480708644635
mmap openat,1.478218032015554,1.5032666881122816
io_setup io_submit,1.4689762216358921,1.5979709953492836
ioctl ioctl openat,1.462258146637247,1.4271342516206647
setsockopt ioctl,1.4600255070583414,1.631979468083068
sendto socket,1.4548434735133327,1.580390414370293
socket getsockopt,1.4544061829711419,1.7038949540193062
openat write write write,1.4431941841020075,1.3574579456922398
creat mount,1.4404688382929298,1.4764167799831536
listen accept,1.4403232817407112,1.4734570598359977
openat ioctl openat,1.4401379199931603,1.3002372469612309
ioctl write,1.4302862664076093,1.7410660817294024
bind listen,1.4071691971254965,1.5462625072832838
getsockname sendmsg sendmsg,1.4017007937004975,1.35876463270954
bind bind,1.3984500738622851,1.3641579629061475
syz_usb_connect syz_usb_control_io syz_usb_control_io,1.389816033489692,1.3314772336758884
sendmsg getsockname sendmsg,1.379164611697213,1.3188131133122694
connect listen accept,1.3786499000480765,1.3680478044970519
creat write,1.375256138030935,1.4904304781293312
openat syz_io_uring_setup,1.3698637409349201,1.393846850117352
socket write,1.3520892026607836,1.3566227155645363
socket sendmmsg,1.341970577675947,1.3123475237772122
mmap bpf bpf,1.331682181207776,1.1547005383792517
syz_io_uring_setup syz_memcpy_off,1.3211453686760626,1.4492429514041565
bind sendmmsg,1.319785011942229,1.3635900917253425
sendmsg openat,1.310211147209525,1.2613454774111452
mmap socketpair,1.3003042463483492,1.319099525684609
socket connect connect,1.2951635669227055,1.3284262022158062
setsockopt socket sendmsg,1.291030182060419,1.0746954706748872
socket setsockopt socket sendmsg,1.291030182060419,1.0746954706748872
openat ioctl socket,1.2867531025601238,1.3265980329157663
socket connect socket,1.2867266424852066,1.2557038763687816
perf_event_open mount,1.2860566682494283,1.3519469384311091
syz_open_dev ioctl syz_open_dev ioctl,1.2853565075050548,1.1655987375097754
sendmsg getsockname sendmsg sendmsg,1.2647319035901945,1.1663145429796649
socket bpf,1.2627148017720033,1.2562539620348687
ioctl syz_read_part_table,1.2622586883179248,1.2247448713915892
sendmsg sendmsg sendmsg,1.2575129879169311,1.1211585466479996
socket socket sendmsg,1.2561341004596622,1.1759559704551266
socket sendmsg getsockname sendmsg,1.2561341004596622,1.1759559704551266
socket socket sendmsg getsockname,1.2561341004596622,1.1759559704551266
socket bind listen,1.2494174655367214,1.3280446170472915
setsockopt socket ioctl,1.244168645818751,1.1791536393045237
bpf setsockopt,1.2401009672225705,1.2804181742323817
syz_init_net_socket connect listen accept,1.2241018180334144,1.1498299142610595
dup ioctl,1.2025415775180197,1.2771919355918748
socket setsockopt bind,1.2008705928010315,1.312646440565955
setsockopt sendmmsg,1.1970201742652147,1.2242713024232321
